,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,name,grand_slams,most_recent_gs
58,1982-540,Wimbledon,Grass,128,G,19820621,300,100284,2.0,,Jimmy Connors,L,178.0,USA,29.7987679671,100581,1.0,,John McEnroe,L,180.0,USA,23.3429158111,3-6 6-3 6-7 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1982,1980s,,Jimmy Connors,8,1983
59,1982-560,US Open,Hard,128,G,19820831,300,100284,2.0,,Jimmy Connors,L,178.0,USA,29.993155373,100656,3.0,,Ivan Lendl,R,188.0,USA,22.4832306639,6-3 6-2 4-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,1982,1980s,,Jimmy Connors,8,1983
60,1982-580,Australian Open,Grass,96,G,19821202,95,100532,1.0,,Johan Kriek,R,175.0,USA,24.6598220397,100445,2.0,,Steve Denton,R,188.0,USA,26.2395619439,6-3 6-3 6-2,5,F,,,,,,,,,,,,,,,,,,,,12.0,,13.0,,1982,1980s,,Johan Kriek,2,1982
61,1983-520,Roland Garros,Clay,128,G,19830523,127,100676,6.0,,Yannick Noah,R,193.0,FRA,23.0116358658,101062,5.0,,Mats Wilander,R,183.0,SWE,18.7488021903,6-2 7-5 7-6,5,F,,,,,,,,,,,,,,,,,,,,6.0,,5.0,,1983,1980s,,Yannick Noah,1,1983
62,1983-540,Wimbledon,Grass,128,G,19830620,300,100581,2.0,,John McEnroe,L,180.0,USA,24.3394934976,100474,,,Chris Lewis,R,180.0,NZL,26.2806297057,6-2 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,2.0,,,,1983,1980s,,John McEnroe,7,1984
63,1983-560,US Open,Hard,128,G,19830830,300,100284,3.0,,Jimmy Connors,L,178.0,USA,30.9678302533,100656,2.0,,Ivan Lendl,R,188.0,USA,23.4579055441,6-3 6-7 7-5 6-0,5,F,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1983,1980s,,Jimmy Connors,8,1983
64,1983-580,Australian Open,Grass,96,G,19831129,300,101062,3.0,,Mats Wilander,R,183.0,SWE,19.266255989,100656,1.0,,Ivan Lendl,R,188.0,USA,23.7262149213,6-1 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,1983,1980s,,Mats Wilander,7,1988
65,1984-520,Roland Garros,Clay,128,G,19840528,127,100656,2.0,,Ivan Lendl,R,188.0,USA,24.205338809,100581,1.0,,John McEnroe,L,180.0,USA,25.2594113621,3-6 2-6 6-4 7-5 7-5,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1984,1980s,,Ivan Lendl,8,1990
66,1984-540,Wimbledon,Grass,128,G,19840625,300,100581,1.0,,John McEnroe,L,180.0,USA,25.3552361396,100284,3.0,,Jimmy Connors,L,178.0,USA,31.8110882957,6-1 6-1 6-2,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1984,1980s,,John McEnroe,7,1984
67,1984-560,US Open,Hard,128,G,19840828,300,100581,1.0,,John McEnroe,L,180.0,USA,25.5277207392,100656,2.0,,Ivan Lendl,R,188.0,USA,24.4736481862,6-3 6-4 6-1,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1984,1980s,,John McEnroe,7,1984
68,1984-580,Australian Open,Grass,96,G,19841126,300,101062,2.0,,Mats Wilander,R,183.0,SWE,20.2628336756,100529,9.0,,Kevin Curren,R,185.0,USA,26.7378507871,6-7 6-4 7-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,4.0,,21.0,,1984,1980s,,Mats Wilander,7,1988
69,1985-520,Roland Garros,Clay,128,G,19850527,127,101062,4.0,,Mats Wilander,R,183.0,SWE,20.7611225188,100656,2.0,,Ivan Lendl,R,188.0,USA,25.2210814511,3-6 6-4 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,1985,1980s,,Mats Wilander,7,1988
70,1985-540,Wimbledon,Grass,128,G,19850624,300,101414,,,Boris Becker,R,190.0,GER,17.5879534565,100529,8.0,,Kevin Curren,R,185.0,USA,27.3127994524,6-3 6-7 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,20.0,,9.0,,1985,1980s,,Boris Becker,6,1996
71,1985-560,US Open,Hard,128,G,19850827,300,100656,2.0,,Ivan Lendl,R,188.0,USA,25.4702258727,100581,1.0,,John McEnroe,L,180.0,USA,26.5242984257,7-6 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1985,1980s,,Ivan Lendl,8,1990
72,1985-580,Australian Open,Grass,96,G,19851125,95,101222,5.0,,Stefan Edberg,R,188.0,SWE,19.8494182067,101062,3.0,,Mats Wilander,R,183.0,SWE,21.2594113621,6-4 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,1985,1980s,,Stefan Edberg,6,1992
73,1986-520,Roland Garros,Clay,128,G,19860526,127,100656,1.0,,Ivan Lendl,R,188.0,USA,26.2176591376,100944,,,Mikael Pernfors,R,173.0,SWE,22.8610540726,6-3 6-2 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,27.0,,1986,1980s,,Ivan Lendl,8,1990
74,1986-540,Wimbledon,Grass,128,G,19860623,127,101414,4.0,,Boris Becker,R,190.0,GER,18.5845311431,100656,1.0,,Ivan Lendl,R,188.0,USA,26.2943189596,6-4 6-3 7-5,5,F,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,1986,1980s,,Boris Becker,6,1996
75,1986-560,US Open,Hard,128,G,19860826,300,100656,1.0,,Ivan Lendl,R,188.0,USA,26.4668035592,101036,16.0,,Miloslav Mecir,R,190.0,SVK,22.2669404517,6-4 6-2 6-0,5,F,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,1986,1980s,,Ivan Lendl,8,1990
76,1987-520,Roland Garros,Clay,128,G,19870525,127,100656,1.0,,Ivan Lendl,R,188.0,USA,27.2142368241,101062,4.0,,Mats Wilander,R,183.0,SWE,22.7542778919,7-5 6-2 3-6 7-6,5,F,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,1987,1980s,,Ivan Lendl,8,1990
