,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
24027,1975-605,Masters,Hard,8,M,19751130,7,100119,,,Ilie Nastase,R,183.0,ROU,29.3661875428,100437,,,Bjorn Borg,R,180.0,SWE,19.4825462012,6-2 6-2 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,,,,,,,,,,,,
26940,1976-416,Rome Masters,Clay,64,M,19760524,63,100214,3.0,,Adriano Panatta,R,183.0,ITA,25.8754277892,100282,1.0,,Guillermo Vilas,L,180.0,ARG,23.7672826831,2-6 7-6 6-2 7-6,5,F,,,,,,,,,,,,,,,,,,,,9.0,,4.0,,1976,1970s,,,,,,,,,,,,
27192,1976-421,Canada Masters,Clay,64,M,19760817,63,100282,1.0,,Guillermo Vilas,L,180.0,ARG,24.0,100280,,,Wojtek Fibak,R,183.0,POL,24.038329911,6-4 7-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,3.0,,25.0,,1976,1970s,,,,,,,,,,,,
27255,1976-422,Cincinnati Masters,Clay,64,M,19760712,63,100255,2.0,,Roscoe Tanner,L,183.0,USA,24.7419575633,100232,1.0,,Eddie Dibbs,R,170.0,USA,25.3826146475,7-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,13.0,,9.0,,1976,1970s,,,,,,,,,,,,
28118,1976-605,Masters,Carpet,8,M,19761205,12,100174,,,Manuel Orantes,L,178.0,ESP,27.8275154004,100280,,,Wojtek Fibak,R,183.0,POL,24.3394934976,5-7 6-2 0-6 7-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,4.0,,14.0,,1976,1970s,,,,,,,,,,,,
31085,1977-416,Rome Masters,Clay,64,M,19770516,63,100342,8.0,,Vitas Gerulaitis,R,183.0,USA,22.8062970568,100200,13.0,,Antonio Zugarelli,R,,ITA,27.3264887064,6-2 7-6 3-6 7-6,5,F,,,,,,,,,,,,,,,,,,,,13.0,,33.0,,1977,1970s,,,,,,,,,,,,
31337,1977-421,Canada Masters,Clay,64,M,19770816,63,100186,12.0,,Jeff Borowiak,R,193.0,USA,27.8904859685,100115,6.0,,Jaime Fillol,R,180.0,CHI,31.2032854209,6-0 6-1,3,F,,,,,,,,,,,,,,,,,,,,31.0,,25.0,,1977,1970s,,,,,,,,,,,,
31400,1977-422,Cincinnati Masters,Clay,64,M,19770711,300,100286,3.0,,Harold Solomon,R,168.0,USA,24.8131416838,100073,4.0,,Mark Cox,L,,GBR,34.0177960301,6-2 6-3,3,F,,,,,,,,,,,,,,,,,,,,13.0,,14.0,,1977,1970s,,,,,,,,,,,,
32258,1977-605,Masters,Carpet,8,M,19780104,7,100284,,,Jimmy Connors,L,178.0,USA,25.3388090349,100437,,,Bjorn Borg,R,180.0,SWE,21.5797399042,6-4 1-6 6-4,3,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1977,1970s,,,,,,,,,,,,
35063,1978-416,Rome Masters,Clay,64,M,19780522,63,100437,1.0,,Bjorn Borg,R,180.0,SWE,21.9575633128,100214,,,Adriano Panatta,R,183.0,ITA,27.8685831622,1-6 6-3 6-1 4-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,,42.0,,1978,1970s,,,,,,,,,,,,
