,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
40095,1979-540,Wimbledon,Grass,128,G,19790625,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,23.0499657769,100255,5.0,,Roscoe Tanner,L,183.0,USA,27.6933607118,6-7 6-1 3-6 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,1979,1970s,
40222,1979-560,US Open,Hard,128,G,19790828,300,100581,3.0,,John McEnroe,L,180.0,USA,20.5284052019,100342,4.0,,Vitas Gerulaitis,R,183.0,USA,25.0896646133,7-5 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,1979,1970s,
40285,1979-580,Australian Open,Grass,64,G,19791224,63,100282,1.0,,Guillermo Vilas,L,180.0,ARG,27.3511293634,100446,6.0,,John Sadri,R,188.0,USA,23.2607802875,7-6 6-3 6-2,5,F,,,,,,,,,,,,,,,,,,,,6.0,,46.0,,1979,1970s,
44037,1980-520,Roland Garros,Clay,128,G,19800526,127,100437,1.0,,Bjorn Borg,R,180.0,SWE,23.9698836413,100342,5.0,,Vitas Gerulaitis,R,183.0,USA,25.8343600274,6-4 6-1 6-2,5,F,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,1980,1980s,
44164,1980-540,Wimbledon,Grass,128,G,19800623,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,24.0465434634,100581,2.0,,John McEnroe,L,180.0,USA,21.3497604381,1-6 7-5 6-3 6-7 8-6,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1980,1980s,
44292,1980-560,US Open,Hard,128,G,19800826,300,100581,2.0,,John McEnroe,L,180.0,USA,21.5249828884,100437,1.0,,Bjorn Borg,R,180.0,SWE,24.2217659138,7-6 6-1 6-7 5-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1980,1980s,
44355,1980-580,Australian Open,Grass,64,G,19801226,63,100360,8.0,,Brian Teacher,R,190.0,USA,26.0095824778,100273,14.0,,Kim Warwick,R,183.0,AUS,28.7173169062,7-5 7-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,17.0,,36.0,,1980,1980s,
48175,1981-520,Roland Garros,Clay,128,G,19810525,127,100437,1.0,,Bjorn Borg,R,180.0,SWE,24.9664613279,100656,5.0,,Ivan Lendl,R,188.0,USA,21.2156057495,6-1 4-6 6-2 3-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,1981,1980s,
48302,1981-540,Wimbledon,Grass,128,G,19810622,300,100581,2.0,,John McEnroe,L,180.0,USA,22.3463381246,100437,1.0,,Bjorn Borg,R,180.0,SWE,25.0431211499,4-6 7-6 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1981,1980s,
48429,1981-560,US Open,Hard,128,G,19810901,300,100581,1.0,,John McEnroe,L,180.0,USA,22.5407255305,100437,2.0,,Bjorn Borg,R,180.0,SWE,25.2375085558,4-6 6-2 6-4 6-3,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1981,1980s,
